i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,-0.008338734580423298,0.037858279849134355,-0.25850077199312227,-0.16270386529043307,0.11390954783338554,-0.25850077199312227
1,0.003520948341621008,0.01928502830516231,0.10914939859025125,0.05985612180755712,0.05431854544627063,0.10914939859025125
2,-0.004801684444005525,0.02983293972368299,-0.14885221776417126,-0.09058090740747181,0.07728120712308986,-0.14885221776417126
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.008705344736560833,0.049837549448568025,0.26986568683338585,0.0794688673740095,0.12428216035458015,0.26986568683338585
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.006323160271348161,0.03777001794964643,0.196017968411793,0.13757672678526206,0.09503109130120026,0.196017968411793
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.000890900337024558,0.0048796621107730555,0.0276179104477613,0.010690804044294696,0.01345230008572465,0.0276179104477613
14,-0.0018532116746860763,0.010150458380574897,-0.057449561915268364,-0.011119270048116458,0.0226971149417479,-0.057449561915268364
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.000777086934041629,0.009019374544166453,0.024089694955290505,0.03443239365524375,0.016458073942128355,0.024089694955290505
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.003081380853748843,0.01687741801862769,0.09552280646621414,0.06162761707497686,0.04570426405147542,0.09552280646621414
22,0.0018074796332849727,0.018206477768466393,0.05603186863183415,0.041389359890015805,0.033023826143452915,0.05603186863183415
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0006126636137069077,0.0033556968138990463,0.01899257202491414,0.002450654454827631,0.006366987041334696,0.01899257202491414
