#{"t_start": 1741011588.410749, "env_id": "None"}
r,l,t
0.587323,31,5.311445-0.048153,31,8.00460.02-0.255823,31,10.69-0.2500.134909,31,13.324-0.1--0.563165,31,15.9550.00--0.314088,31,18.5-0.1-0.-0.073473,31,21.10.-0-0.0.040353,31,23.70.30.03-0.272136,31,26.--0-0.05-0.204097,31,29-0-00.0260.13993,31,31.-0.-0.12-0.029175,31,34.-00-0.330.136379,31,36.-00.0.200.259692,31,39.30-0-0.2-0.064978,31,41.0.0-0.16-0.318224,31,4400.10.0570.284573,31,470-0.-0.130.218497,31,4-00.01-0.10.492845,31,520.16940.0-0.313237,31,--0.1-0.138-0.001938,31,0-0.60.05370.108107,31-0.0.20.1890.072017,31,6-00.0-0.060.187531,31,6500.26-0-0.248243,31,68.00.0330.-0.096261,31,7000.0200.20.285448,31,7300.1140.3-0.216886,31,0-0.065-0.00.241266,31,-00.03830.2-0.002467,31,0.21288-0.0.19128,31,-00.14134900.295849,31,800.0978750-0.200344,31,00.116260.10.135487,31,-0.05484-0.0.127182,31,0.06356,30.-0.355117,3-0.18982,30.20.085476,30.154264,30.2-0.226393,30.05614,3-0.570.366822,-0.151449,3-0.00.0094,31,-0.167641,3--0.383802,31,-0.236961,-0.265698,31,11-0.099319,-0.020688,31,1-0.067906,3-0.054792,31,0-0.216199,--0.184072,31-0-0.190116,00.184967,31,0.-0.85515200.172987,31,-0.0.468153-0.340972,31,10-0.187456,-0.383641,31,-0-0.31401600.373364,31,1-0-0.23518--0.174056,31,10.0.00377,0-0.236579,31,00.073317,00.077425,31,100.083417,00.131461,31,100.445086,--0.273429,31,00.044685,3-0.139668,310.0.195822,310.333945,31-00.129455,310.132811,31,-0.204252,310.089842,31,-0.199977,31-0.010819,31,0.253828,31,0.27457,31,10.094048,310.335849,31,0-0.264871,30.043631,31,0.0.011619,30.172629,31,-0-0.321676,0.076915,31,1-00.267816,0.210525,31,1000.040287,-0.007005,31,00-0.122593,-0.008112,310.0-0.02571,30.223365,30.220.383493,3-0.206253-0.0-0.1832,31,20.030522,-0-0.019419,31,0.030818-0--0.11222,31,20.05202-0.-0.23271,31,29-0.08507-00.139014,31,3010.081560.0.02244,31,304-0.33410.-0.762025,31,3070.0622-0.-0.08141,31,309-0.0276-00.923834,31,3120.10477900.02096,31,314.-0.42539-0.192275,31,317.-0.0779-0.013448,31,319.9-0.4355-0.751655,31,322.6-0.09400.06032,31,325.200-0.040.317921,31,327.77-0-0.0-0.147292,31,330.30.00.50.038761,31,332.940.20.10.14544,31,335.521-0.-00.024885,31,338.10970.30-0.084895,31,340.704-0.0.-0.066443,31,343.2950.-0.-0.167615,31,346.00.10.14-0.173838,31,348.-00.1088-0.027035,31,35100.100854-0.339533,31,35-0.045598,0.36044,31,3560-0.18614-0.267346,31,350-0.0747030.181725,31,360.-0.2242-0.081926,31,360.10.173630.035303,31,30.49-0.1323-0.117256,3-0.2069-0.07750.196324,31-0.6043-0.0880.244153,31,-0.2365-0.17-0.250102,31,0.198660.110-0.214765,31-0.02960.00.1-0.413852,31-0.0120.1-0.0-0.127522,310.1970.190.0.-0.038293,3-0.180.120.0.1-0.095915,30.170.0-0.0.200.144621,30.12-0.2-00.15-0.120439,0.038-00.016656-0.049980.2027-0-0.012443-0.06390.1129,-0-0.033760.004-0.177731,0.-0.16320.00250.3078980.05-0.0990.12860.158762-0.0.11734-0.0590.155654-0.-0.336660.1950.082626,0.0-0.132-0.162-0.1406960.39-0.0550.09430.110714-0.06-0.110.12430.606885,-0.29-0.0-0.0260.023629,3-0.1--0.0.3821-0.253971,30.180-0-0.3356-0.054394,0.030.0.-0.14290.044837-0.21-0-0.-0.2550.028392,0.3070.-0.-0.10-0.1713150.995-0.2180.0490.123340.42984-0.-0.0489-0.1017-0.2799-0.0-0.17300.05799-0.1480.0-0.096860.117760.37780.210.19898-0.0972-0.055-0.0-0.193240.0944-0.3990.009-0.0458-0.00210.50-0.2777-0.0102-0.074-0.050.211260.4202-0.1172-0.2-0.0591-0.1590.1612210.100.316820.0160.022696-0.10.10859-0.13-0.1041320.20.4360440.0520.1818430.00.14408,-0.160.01443400.151636,3-0.310.17341,0-0.292914,30.2-0.0195960.0.352429,3-0.0-0.04803-00.172573,31-0.0-0.1679200.219782,31,0.05-0.0130.-0.417953,310.180.14520.00.221993,310.0.119421-0-0.201091,31-0-0.0916090.0.538077,31,-0.235037,-00.243925,31,00.344414,-0-0.051344,31--0.096364,-00.170668,31,0-0.14971,30-0.103313,3100.041912,3-00.07529,31,0.216605,310.150112,31,6-0.140333,30.274866,31,610.601746,0.624611,31,616-0.078000.037886,31,619-0.4147430.239564,31,621.0.1591230.008522,31,624.0.193941-0.124326,31,6260.26554,30.13985,31,6290.018287,0.080923,31,6320.009939,-0.048125,31,63-0.018677,0.244364,31,637-0.026198-0.239359,31,63-0.309744,-0.123936,31,-00.58096,3-0.300354,31,6-0.216059,3-0.046041,3-0.-0.136486,00.229811,31-0.0.223709,-0.078448,31-0.-0.024324,0.229171,31,-0.0.189465,-0.029704,31,-00.117092,30.253253,31,0.-0.080849,-0.087456,31-0.-0.126411,0.124989,31,-0.0.096589,0.153544,31,0.2-0.015570.173049,31,6-0.00.02191-0.08391,31,670.1-0.0798-0.474126,31,60.04-0.1666-0.048743,31,0.032-0.32480.054095,31,-0.097-0.063-0.174462,31,0.1170-0.2510.041874,31,0.24920-0.530.140937,31,-0.11847-0.00.007255,31,60.943040.130.233705,31,60.295590.05-0.196278,31,-0.0147-0.02-0.195065,31,-0.05140.154-0.111156,31,-0.390.059060.098605,31,0.023-0.1097-0.222404,310.10960.13580-0.072773,3-0.041-0.250.50.045829,310.1405-0.00.00.09799,310.029150.-0.8-0.096198,30.244780.1-0.10.703438,30.12633-0.50.1-0.014933,0.151830.470.310.156683,-0.0226-0.00.150.384463,30.0500.289-0.20.014061,3-0.080.7080-0.0.042084,3-0.00-0.36530.-0.090023,30.040.081940.0.160526,31-0.00.110280.-0.061936,310.20.02299-00.212708,31-0.00.001786-0.08661,31,80.2-0.14743-0.020519,31,0.150.0252020.110174,31,0.12-0.05200-0.35383,31,0.3150.3523-0.1111,31,8-0.245-0.39-0.025138,31,8-0.2030.034-0.297848,31,80.1100.19050.21162,31,86-0.030.17-0.005723,31,870.014-0.110.350922,31,87-0.2620.39-0.035221,31,87-0.00.5563-0.00278,31,877-0.-0.4500.343397,31,880.-0.0.019-0.065088,31,883.0.-0.105-0.056203,31,885-0.-0.0380.167444,31,8880.040.349-0.145144,31,8-0.38-0.0290.13825,31,8930.7940.090.183088,31,8960.0190.050.211925,31,890.08690.-0.060001,31,9010.0060.20.170628,31,904.-0.120.2-0.156551,31,906.0.1-0.040.21486,31,909.3-00.1300.166463,31,911.940.13580.075543,31,914.56-0.295-0.208463,31,917.120.27470.285498,31,919.80.19401-0.032241,31,922.-0.507970.065113,31,924.0.0153120.087806,31,927.0.107359-0.09455,31,930.-0.074400.191412,31,932.7-0.28350.244494,31,935.30-0.060.096553,31,937.89-0.0450.227716,31,940.461-0.150.044267,31,943.1803-0.3-0.025329,31,945.761-0.20.246935,31,948.33269-0.-0.134446,31,950.905030.50.082537,31,953.475990.0.728109,31,956.053331-0-0.022107,31,958.6143-0.0.129913,31,961.1810090.0.238653,31,963.895913-00.570433,31,966.4662720.0.064175,31,969.040707-00.267734,31,971.6249730.0.230118,31,974.195840.0-0.194632,31,976.7770-0.0-0.176025,31,979.36600.20.533954,31,981.949020.0.322469,31,984.5521790.0.105466,31,987.2807980.-0.121534,31,989.8730.1520.090177,31,992.472-0.09-0.157212,31,995.0570.2120.093907,31,1093.8-0.20880.041644,31,1096.43-0.2060.371235,31,1099.0100.1570.262353,31,1101.5950.020.208935,31,1104.31580.02-0.166986,31,1106.88-0.1170.08609,31,1109.45390.00.101328,31,1112.034140.0-0.00661,31,1114.6096-0.10.747975,31,1117.192540.3-0.235122,31,1119.7644-0.0-0.133919,31,1122.3405-0.2-0.08189,31,1125.052630.30.388708,31,1127.622780.00.272687,31,1130.219320.10.099987,31,1132.812370.00.041747,31,1135.394430.90.23203,31,1137.987947-00.249137,31,1140.5881170.0.072228,31,1143.1888810.0.32439,31,1145.7523160.-0.02713,31,1148.4749580.-0.19324,31,1151.0565230.0.081741,31,1153.649170.0.153554,31,1156.239380-0.090034,31,1158.8227370.-0.098338,31,1161.42310.670.091444,31,1164.025-0.021.268889,31,1166.62570.680.589633,31,1169.350.5274-0.163191,31,1171.90.06182-0.073008,31,1174.-0.19159-0.01722,31,1177.1-0.0850-0.056279,31,1179.70.094080.046254,31,1182.3-0.08590.222972,31,1184.0.0005020.020399,31,1187.0.2212540.196273,31,1190.0.043555-0.021478,31,1190.065635,3-0.049282,31,110.076592,31-0.001318,31,-0.022896,31,-0.092416,31,0.474374,31,10.056898,31,0.550011,31,10.385283,31,0.161762,31,10.508568,31,0.227152,31,10.936384,31,0.258869,31,-0.012521,31,0.100348,31,1-0.155781,31-0.023515,31,1-0.32952,31-0.08424,31,120.418172,31-0.10138,31,120.548345,310.023828,31,1-0.170483,310.106499,31,120.054535,310.308767,31,10.373116,31,-0.25875,31,1-0.220516,31-0.181629,31,10.344122,31,0.041541,31,10.234614,31,0.741755,31,0.228197,31,10.152642,31,0.359257,31,1-0.136346,310.086763,31,120.020789,310.108513,31,120.151222,31-0.05131,31,12-0.12359,310.213598,31,12-0.159622,3-0.160306,31,12-0.130149,30.169875,31,126-0.085648,-0.156464,31,1260.077719,3-0.012449,31,13-0.098327,30.205463,31,1350.079824,30.034853,31,135-0.014791,-0.062189,31,135-0.310013,0.199763,31,1361-0.1085390.363543,31,1364.0.6393590.149429,31,1367.0.2521660.030863,31,1369.0.1180490.183432,31,1372.0.2294150.130029,31,1374.0.16661-0.492411,31,13770.453665,-0.109884,31,1371.139965,0.291154,31,13820.278793,0.590248,31,1385-0.02504,0.20571,31,1387.-0.11090.296367,31,1390.350.19950.222904,31,1392.940.0713-0.116656,31,1395.50.25952-0.165407,31,1398.-0.310770.14371,31,1400.650.09521.156352,31,1403.230.00930.135573,31,1405.810.22960.014677,31,1408.40-0.0640.03781,31,1411.09400.230.239059,31,1413.678-0.28-0.023323,31,1416.250.1398-0.267352,31,1418.80.011530.127142,31,1421.40.1690-0.008338,31,1423.90.239150.178874,31,1426.50.339050.11917,31,1429.14-0.1170.248827,31,1431.873-0.050.723589,31,1434.45950.00-0.033761,31,1437.0370.213-0.22272,31,1439.6120.1780.399532,31,1442.2000.2140.328448,31,1444.70.194720.894701,31,1447.4-0.15260.210135,31,1450.08-0.0230.111035,31,1452.840.07490.166386,31,1455.450.1282-0.011542,31,1458.00.343100.229954,31,1460.60.125090.373615,31,1463.3-0.10450.224309,31,1465.970.05820.073698,31,1468.640.131-0.10056,31,1471.300.0066-0.17806,31,1474.120.10270.464945,31,1476.790.1940.027632,31,1479.4580.973-0.00595,31,1482.0880.2630.030809,31,1484.680-0.02-0.277975,31,1487.268-0.100.066816,31,1489.89280.130.131413,31,1492.51420.440.316539,31,1495.128-0.180.175875,31,1497.8889-0.20.035857,31,1500.519380.0-0.031436,31,1503.138-0.050.324666,31,1505.76050.070.361748,31,1508.37730.230.187612,31,1511.00450.40.211538,31,1513.62215-0.0.048871,31,1516.253231-00.509554,31,1519.0156520-0.325306,31,1521.6354970.0.133659,31,1613.3257790.0.418894,31,1615.8985360.0.425604,31,1618.468870.2-0.141663,31,1621.0466-0.3-0.003199,31,1623.61030.11-0.204179,31,1626.1780.0720.057794,31,1628.9150.0950.791109,31,1631.497-0.090.049027,31,1634.079-0.19-0.085864,31,1636.652-0.160.310106,31,1639.23980.27-0.168492,31,1641.835-0.050.096579,31,1644.42810.070.666478,31,1647.03380.20.018334,31,1649.6370.1530.243787,31,1652.3710.286-0.237844,31,1654.960.0960-0.064363,31,1657.50.471540.565682,31,1660.1-0.07610.127401,31,1662.740.3482-0.028193,31,1665.30.09426-0.171239,31,1667.0.0740570.802978,31,1670.-0.000320.671082,31,1673.20.356450.402497,31,1675.-0.04823-0.158723,31,1670.382312,3-0.09594,31,168-0.021693,0.030092,31,1683-0.0012270.033088,31,1686.0.0371280.150784,31,1688.1.168673-0.047945,31,1691-0.0813030.289413,31,1694.0.6540710.139234,31,1696.-0.03452-0.139417,31,1699.0.0040450.166162,31,1701.0.245436-0.056467,31,1704-0.0618860.918512,31,17070.13671,30.055699,31,1700.543126,30.143546,31,170.115404,310.088948,31,170.733006,310.066591,31,170.103808,31-0.003974,31,10.414458,31,-0.073467,31,0.030033,31,10.134338,31,0.100498,31,-0.034206,31,0.449455,31,11.322176,31,0.180261,31,10.161254,31,0.038964,31,10.016076,31,0.263079,31,10.011663,31,0.203873,31,1-0.257002,310.697534,31,0.585562,31,10.36862,31,10.083118,31,-0.163092,31,0.34811,31,170.283357,310.032072,31,17-0.116276,30.03254,31,10.035895,31,0.014061,31,11.024581,31,0.365343,31,1-0.00842,31,0.917853,31,1-0.166792,310.378203,31,10.490384,31,0.681704,31,10.060546,31,0.050173,31,1-0.082649,310.343922,31,1-0.441823,310.101279,31,17-0.0121,31,-0.183856,31,0.402983,31,1-0.126847,310.026293,31,170.216173,310.072577,31,170.184403,31-0.002409,31,10.143828,31,0.240394,31,1-0.075597,31-0.171765,31,10.112907,31,0.059927,31,1-0.016334,310.156624,31,10.188189,31,0.125173,31,1-0.055608,31-0.086299,31,11.634448,31,0.482716,31,10.311513,31,0.005022,31,10.855311,310.211457,31,18-0.0775,31,0.128218,31,10.166823,31,1.076257,31,11.207144,31,0.178905,31,10.557699,31,-0.031225,31,0.281229,31,10.200756,31,0.605787,31,10.503891,31,0.246859,31,10.210642,31,0.202926,31,1-0.083486,310.237858,31,190.137887,310.243308,31,190.032536,310.012453,31,191.091977,310.134316,31,190.119874,310.409778,31,190.083279,310.38944,31,192-0.161661,0.385904,31,19260.282713,1.448702,31,1928-0.110805-0.24153,31,1931.-0.017280.204211,31,1933.90.0921--0.052899,31,1930.241965,0-0.016533,31,190.101566,0.-0.097968,31,10.094601,-0.-0.072323,310.181769,-0.100.100639,310.134056,300.7-0.163456,30.507535,310.590.343945,3-0.073836,-0.340.134714,310.169931,30.160.047928,310.319631,00.290.279131,310.410419,0.630.242555,31,-0.1206030.800.208706,31,10.243671.1810.187137,31,10.26230.02460.831697,31,10.01980.0061-0.016461,31,-0.0410.223460.144845,31,-0.088-0.0325-0.233949,31,0.0150.265930.083804,31,10.236-0.2155-0.306985,31,0.06110.273420.299539,3-0.36480.0660810.043027,30.848850.2210760.031746,0.3351020.104677-0.1586780.103862-0.0202,30.6862040.12371-0.011609,0.2348060.9417840.275055,0.155249-0.228060.043398,0.012929,0.911121.351049,0.286276,0.815190.105612,-0.31929,0.085040.0496790.444996,30.27423-0.00859-0.004477,0.253161-0.053030.471057,-0.3428220.31168-0.336051,0.2877690.3100080.500321,-0.204720.0228370.279409,0.0012750.256505-0.07658,0.4359290.075203-0.3601790.17099,0.0716690.0138250.8621260.147754,-0.086770.0797640.248938,30.264290.6413230.011388,30.308080.7626580.281928,30.623590.2860180.087698,3-0.04690.3336040.026953,311.04420.2326110.123155,310.00090.0904,3-0.084597,30.270.024735,310.27392,30.1090.179063,3-0.278701,0.9930.092518,310.072923,-0.10-0.092712,3-0.1647480.1718-0.066933,30.1273521.179570.518941,30.1822870.014440.008881,30.162491-0.10390.758213,-0.151372,1.12920.531355,0.04497,30.229410.2916270.240524,30.203420.3839751.294758,-0.1679-0.0543321.417673,30.16347-0.158540.222728,30.0631060.91775-0.137009,0.3282210.3464630.7335160.258991,0.0505070.240220.343425,30.44297-0.104660.337885,30.30935-0.019900.299189,30.158647-0.15740.439534,3-0.072836-0.047-0.058767,3-0.0719110.18791.259036,31-0.194850.23780.204796,31,1.35990.284620.555358,31,0.0390.2963480.368691,31,0.2050.011300.608866,31,20.2510.155530.224641,31,2-0.10.5924170.149729,31,220.20.0075540.233448,31,220.0-0.002350.701658,31,22-0.00.51945-0.0017,31,2233-0.0.23200.525402,31,2236.0.0.09870.106955,31,2239.-0-0.1160.74172,31,2241.730.0.030.327537,31,2244.360.0.050.161696,31,2247.120.-0.00.019078,31,2249.810.1-00.0194,31,2252.477270.00.226924,31,2255.11482-0.-0.145886,31,2257.761660.00.00668,31,2260.389840.-0.315085,31,2263.02420.2-0.508026,31,2265.61390.40.126981,31,2268.335750.-0.104267,31,2270.92580.26-0.011425,31,2273.501-0.090.449997,31,2276.0890-00.0.77056,31,2278.668698000.48097,31,2281.2544430-0.449449,31,2283.845865-00.489391,31,2286.649145--0.168572,31,2289.23702100.007152,31,2291.840523-0.286206,31,2294.44365
0.150214,31,2297.046001
1.079803,31,2299.654529
0.043508,31,2302.260551
0.308149,31,2304.873025
0.830239,31,2307.488356
0.211423,31,2409.874193--0.090214,31,2412.47599200.274124,31,2415.04567
-0.096682,31,2417.641115-0.276998,31,2420.238569
0.104588,31,2422.8195550-0.03324,31,2425.39978
0.512586,31,2428.130995
