i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.039830485052792464,0.09266521800070604,1.2347450366365667,0.4912871522235903,0.66358070787295,1.2347450366365667
1,0.008649010415898927,0.025241337865504598,0.2681193228928667,0.16135723517870798,0.11446577982456448,0.2681193228928667
2,-0.03243759787335425,0.05950760746586976,-1.0055655340739815,-0.24440448338139886,0.2197954056465527,-1.0055655340739815
3,-0.00016368870228990174,0.06791054548203186,-0.005074349770987051,0.06769879531297687,0.23903064561410972,-0.005074349770987051
4,-0.002807978555301647,0.029459176859716968,-0.08704733521435105,-0.022659166497544275,0.06465143603679527,-0.08704733521435105
5,0.0016231016498444914,0.0490493407166254,0.05031615114517923,0.09182405478440259,0.13064086550035287,0.05031615114517923
6,0.04487205497022993,0.06810022280664264,1.3910337040771281,0.7732549629483007,0.48364159227137316,1.3910337040771281
7,0.00508391747670739,0.048633752343498,0.1576014417779291,0.22398169426102313,0.110144736203113,0.1576014417779291
8,0.040351534785933445,0.09580611794137353,1.250897578363937,0.10988468496836523,0.58704924405553,1.250897578363937
9,0.039936557226131444,0.08746192292431065,1.2380332740100748,0.48949900994102397,0.32292369446225194,1.2380332740100748
10,0.010764647252374956,0.08050379551430428,0.33370406482362364,0.20797604582085666,0.2956145625519439,0.33370406482362364
11,0.026670304893074266,0.0510416458274613,0.8267794516853022,0.11417549737391364,0.3201394698797172,0.8267794516853022
12,0.03443178719715776,0.07745866321900281,1.0673854031118906,0.22009132478023358,0.41934222119258563,1.0673854031118906
13,-0.0037873242317575714,0.05298626536588208,-0.11740705118448475,-0.07514511230836513,0.13120683632710053,-0.11740705118448475
14,-0.0054693463275993105,0.05087283975657736,-0.1695497361555786,0.027286114062929898,0.10796853552152177,-0.1695497361555786
