i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.0003180269365438817,0.005761631161789324,0.009858835032860329,0.3300384083635076,0.20347606159650125,0.19717670065720666
1,-0.0004085547255889564,0.002569983651672799,-0.012665196493257648,-0.21387143062381217,0.08973751431300965,-0.25330392986515315
2,-3.7913640848785735e-05,0.005048379431965213,-0.0011753228663123525,0.04426303210742764,0.1224973514625312,-0.023506457326247107
3,0.0007669839046665942,0.004848942685508747,0.02377650104466442,0.30574856677306417,0.20202265342221723,0.4755300208932883
4,-0.0004057555395124314,0.003679944380336181,-0.012578421724885377,0.12787524225076316,0.11903816306081624,-0.2515684344977075
5,0.00010663036679612688,0.010458328176304835,0.0033055413706799264,0.13055071501430163,0.3550710083839875,0.06611082741359864
6,-0.0003728854882539459,0.004936368837067987,-0.01155945013587232,-0.13939427315418582,0.11875367209162577,-0.2311890027174464
7,-8.555049085070534e-05,0.004785477255556452,-0.0026520652163718665,-0.047112188062063846,0.1036815388021477,-0.053041304327437436
8,-0.0004781559532279911,0.0035383159992548887,-0.014822834550067724,-0.3379541792571356,0.1734295472603946,-0.2964566910013545
9,-4.111891318870436e-06,0.0039860070530888395,-0.00012746863088498699,0.11248589329697106,0.16429594063848663,-0.002549372617699705
10,0.0006481885874776308,0.005217458071065845,0.02009384621180655,0.26828312591363457,0.1433498758292639,0.4018769242361312
11,0.0019209433961034374,0.003263716499664093,0.05954924527920656,0.4210624079494466,0.3659297561479897,1.190984905584131
12,-0.000424798178822065,0.003722672049070874,-0.013168743543484015,-0.08658482104054238,0.1363284731004569,-0.26337487086968014
13,0.00011987726396389986,0.00248570466474813,0.0037161951828808956,0.05281653522686702,0.03829557492697596,0.07432390365761792
14,-0.0001237995118438332,0.005477986989457749,-0.0038377848671588295,0.037338270001258264,0.12920271483735557,-0.07675569734317661
